enforcement_id,source_url,source_file,action_type_raw,action_type,action_subtype,date_effective,date_no_longer_in_force,date_effective_raw,date_no_longer_in_force_raw,entity_name,entity_type,abn,city,state,postcode,provider_number,other_relevant_info,registration_groups,description_text,support_categories_mentioned,ingested_at_utc,zero_spend_scope,entity_key,canonical_name,source_entity_name,source_entity_names,source_abn,source_state,source_postcode,source_city,source_entity_type,action_count,action_types,first_action_date,most_recent_action_date,most_severe_action,most_severe_action_raw,source_row_count,needs_abn_lookup,resolved_abn,resolved_acn,resolved_entity_name,resolved_entity_type,resolved_state,resolved_postcode,abn_lookup_mode,abn_search_query,abn_search_variants,abn_candidate_count,abn_best_candidate_query,abn_best_candidate_name,abn_best_candidate_score,match_confidence,review_reason,asic_match_basis,asic_company_name,asic_current_name,asic_status,asic_type,asic_class,asic_sub_class,asic_registration_date,asic_deregistration_date,asic_previous_state_of_registration,asic_state_registration_number,asic_current_name_indicator,asic_current_name_start_date,asic_company_abn,asic_company_acn
5b33208c8c1120a29f34,https://www.ndiscommission.gov.au/about-us/compliance-and-enforcement/compliance-actions/search/export,C:\Users\Carter Xu\OneDrive\Antigravity Workspaces\Main-swarm\NDIS\project\raw\enforcement\enforcement_export_20260330T084133Z.csv,ER - Compliance notice,compliance_notice,,2025-08-13 17:00:00,2025-12-16 17:00:00,2025-08-13 17:00,2025-12-16 17:00,Acclaimed Community Support Services Pty Ltd,provider,79663019583,Bundoora,VIC,3083,,,,"Acclaimed Community Support Services Pty Ltd is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Acclaimed Community Support Services Pty Ltd is required by 28 August 2025 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 13 November 2025 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 13 August 2025 from 5pm. Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Acclaimed Community Support Services Pty Ltd. has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force.",Support Services Pty Ltd is required to take action to address alleged non; Support Services Pty Ltd is required by; Support Services Pty Ltd,2026-03-30 08:41:33.609896+00:00,True,abn:79663019583,acclaimed community support services,Acclaimed Community Support Services Pty Ltd,Acclaimed Community Support Services Pty Ltd,79663019583,VIC,3083,Bundoora,provider,1,compliance_notice,2025-08-13T17:00:00,2025-08-13T17:00:00,compliance_notice,ER - Compliance notice,1,False,79663019583,663019583,ACCLAIMED COMMUNITY SUPPORT SERVICES PTY LTD,Australian Private Company,VIC,3082,html_fallback,,,0,,,0.0,source_abn_exact,,abn_exact,ACCLAIMED COMMUNITY SUPPORT SERVICES PTY LTD,,REGD,APTY,LMSH,PROP,10/10/2022,,,,Y,,79663019583,663019583
68e5f392553f0327a8d9,https://www.ndiscommission.gov.au/about-us/compliance-and-enforcement/compliance-actions/search/export,C:\Users\Carter Xu\OneDrive\Antigravity Workspaces\Main-swarm\NDIS\project\raw\enforcement\enforcement_export_20260330T084133Z.csv,ER - Compliance notice,compliance_notice,,2025-08-13 17:00:00,2025-12-16 17:00:00,2025-08-13 17:00,2025-12-16 17:00,Community Integrated Care Pty Ltd,provider,29647201625,BROADMEADOWS,VIC,3047,,,,"Community Integrated Care Pty Ltd is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Community Integrated Care Pty Ltd is required by 28 August 2025 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 13 November 2025 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 13 August 2025 from 5pm. Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Community Integrated Care Pty Ltd. has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force.",,2026-03-30 08:41:33.609896+00:00,True,abn:29647201625,community integrated care,Community Integrated Care Pty Ltd,Community Integrated Care Pty Ltd,29647201625,VIC,3047,BROADMEADOWS,provider,2,compliance_notice,2025-08-13T17:00:00,2025-08-13T17:00:00,compliance_notice,ER - Compliance notice,2,False,29647201625,647201625,COMMUNITY INTEGRATED CARE PTY LTD,Australian Private Company,VIC,3047,html_fallback,,,0,,,0.0,source_abn_exact,,abn_exact,COMMUNITY INTEGRATED CARE PTY LTD,,REGD,APTY,LMSH,PROP,18/01/2021,,,,Y,,29647201625,647201625
a18d3ca5c938f740aca2,https://www.ndiscommission.gov.au/about-us/compliance-and-enforcement/compliance-actions/search/export,C:\Users\Carter Xu\OneDrive\Antigravity Workspaces\Main-swarm\NDIS\project\raw\enforcement\enforcement_export_20260330T084133Z.csv,ER - Compliance notice,compliance_notice,,2025-08-13 17:00:00,2025-12-08 17:00:00,2025-08-13 17:00,2025-12-08 17:00,Dane Eric Cran,provider,32240052346,Eagle Vale,NSW,2558,,,,"Dane Eric Cran, Rolling Waves Community Care is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Mr Dane Eric Cran, Rolling Waves Community Care is required by 28 August 2025 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 13 November 2025 to provide the NDIS Commission a copy of the completed mid-term audit report.The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Mr Dane Eric Cran, Rolling Waves Community Care, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force",,2026-03-30 08:41:33.609896+00:00,True,abn:32240052346,dane eric cran,Dane Eric Cran,Dane Eric Cran,32240052346,NSW,2558,Eagle Vale,provider,1,compliance_notice,2025-08-13T17:00:00,2025-08-13T17:00:00,compliance_notice,ER - Compliance notice,1,False,32240052346,,"CRAN, DANE ERIC",Individual/Sole Trader,NSW,2558,html_fallback,,,0,,,0.0,source_abn_exact,,,,,,,,,,,,,,,,
1016fa026ee54f4b76f3,https://www.ndiscommission.gov.au/about-us/compliance-and-enforcement/compliance-actions/search/export,C:\Users\Carter Xu\OneDrive\Antigravity Workspaces\Main-swarm\NDIS\project\raw\enforcement\enforcement_export_20260330T084133Z.csv,ER - Compliance notice,compliance_notice,,2025-08-13 17:00:00,2025-12-16 17:00:00,2025-08-13 17:00,2025-12-16 17:00,K & M Healthcare Pty Ltd,provider,13064218622,Hampton East,VIC,3188,,,,"K &amp; M Healthcare Pty Ltd is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, K &amp; M Healthcare Pty Ltd is required by 28 August 2025 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 13 November 2025 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 13 August 2025 from 5pm. Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that K &amp; M Healthcare Pty Ltd. has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force.",,2026-03-30 08:41:33.609896+00:00,True,abn:13064218622,k and m healthcare,K & M Healthcare Pty Ltd,K & M Healthcare Pty Ltd,13064218622,VIC,3188,Hampton East,provider,1,compliance_notice,2025-08-13T17:00:00,2025-08-13T17:00:00,compliance_notice,ER - Compliance notice,1,False,13064218622,064218622,K & M HEALTHCARE PTY LTD,Australian Private Company,VIC,3188,html_fallback,,,0,,,0.0,source_abn_exact,,abn_exact,K & M HEALTHCARE PTY LTD,,REGD,APTY,LMSH,PROP,07/04/1994,,,,Y,,13064218622,064218622
20aa9bc8a474155c8694,https://www.ndiscommission.gov.au/about-us/compliance-and-enforcement/compliance-actions/search/export,C:\Users\Carter Xu\OneDrive\Antigravity Workspaces\Main-swarm\NDIS\project\raw\enforcement\enforcement_export_20260330T084133Z.csv,ER - Compliance notice,compliance_notice,,2025-08-13 17:00:00,2026-02-05 17:00:00,2025-08-13 17:00,2026-02-05 17:00,Lara Sarmad Admon Al Sarraf,provider,74587710119,Mickleham,VIC,3064,,,,"Lara Sarmad Admon Al Sarraf, DIAMOND HEALTHCARE SERVICES is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Miss Lara Sarmad Admon Al Sarraf, DIAMOND HEALTHCARE SERVICES is required by 28 August 2025 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 13 November 2025 to provide the NDIS Commission a copy of the completed mid-term audit report. The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Miss Lara Sarmad Admon Al Sarraf, DIAMOND HEALTHCARE SERVICES, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force.",,2026-03-30 08:41:33.609896+00:00,True,abn:74587710119,lara sarmad admon al sarraf,Lara Sarmad Admon Al Sarraf,Lara Sarmad Admon Al Sarraf,74587710119,VIC,3064,Mickleham,provider,1,compliance_notice,2025-08-13T17:00:00,2025-08-13T17:00:00,compliance_notice,ER - Compliance notice,1,False,74587710119,,"AL SARRAF, LARA SARMAD ADMON",Individual/Sole Trader,VIC,3064,html_fallback,,,0,,,0.0,source_abn_exact,,,,,,,,,,,,,,,,
7beaa289d147a52820db,https://www.ndiscommission.gov.au/about-us/compliance-and-enforcement/compliance-actions/search/export,C:\Users\Carter Xu\OneDrive\Antigravity Workspaces\Main-swarm\NDIS\project\raw\enforcement\enforcement_export_20260330T084133Z.csv,ER - Banning Order,banning_order,,2025-12-29 17:00:00,2029-12-29 17:00:00,2025-12-29 17:00,2029-12-29 17:00,Mandy Miller,individual,,Yass,NSW,2582,,,,"On 9 December 2025, a banning order was made under section 73ZN(2)(b) of the National Disability Insurance Scheme Act 2013. The banning order prohibits Mandy Miller from engaging in the following NDIS activities:1. Provide or be involved or assist in the provision, to any NDIS Participant, of any support or supports under a Participant’s Plan;2. Provide or be involved or assist in the provision, to any NDIS Participant, of any service or services under a Participant’s Plan‘NDIS Participant’ means a participant within the meaning of section 9 of the NDIS Act;‘NDIS Provider’ means an NDIS Provider within the meaning of section 9 of the NDIS Act;‘Participant’s Plan’ means a plan within the meaning of section 9 of the NDIS Act.This banning order takes effect on 29 December 2025 at 5:00pm AEDT for a period of 4 years and operates across all States and Territories of Australia.",support or supports under a Participant,2026-03-30 08:41:33.609896+00:00,True,name_state:mandy miller|NSW,mandy miller,Mandy Miller,Mandy Miller,,NSW,2582,Yass,individual,1,banning_order,2025-12-29T17:00:00,2025-12-29T17:00:00,banning_order,ER - Banning Order,1,True,73072313880,,"MILLER, MANDY",Individual/Sole Trader,NSW,2548,html_fallback,Mandy Miller,Mandy Miller; mandy miller,4,Mandy Miller,MANDY MILLER,1.0,searched_name_exact,Exact canonical name match from free ABN search.,,,,,,,,,,,,,,,
0f9c7de791ed753aa60c,https://www.ndiscommission.gov.au/about-us/compliance-and-enforcement/compliance-actions/search/export,C:\Users\Carter Xu\OneDrive\Antigravity Workspaces\Main-swarm\NDIS\project\raw\enforcement\enforcement_export_20260330T084133Z.csv,ER - Compliance notice,compliance_notice,,2025-08-13 17:00:00,,2025-08-13 17:00,,Martha Akiech Kur,provider,28315834373,Virginia,SA,5120,,,,"Martha Akiech Kur, Ability Health Nursing services is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Miss Martha Akiech Kur, Ability Health Nursing services is required by 28 August 2025 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 13 November 2025 to provide the NDIS Commission a copy of the completed mid-term audit report. The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Miss Martha Akiech Kur, Ability Health Nursing services, has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force",,2026-03-30 08:41:33.609896+00:00,True,abn:28315834373,martha akiech kur,Martha Akiech Kur,Martha Akiech Kur,28315834373,SA,5120,Virginia,provider,1,compliance_notice,2025-08-13T17:00:00,2025-08-13T17:00:00,compliance_notice,ER - Compliance notice,1,False,28315834373,,"KUR, MARTHA AKIECH",Individual/Sole Trader,NT,0870,html_fallback,,,0,,,0.0,source_abn_exact,,,,,,,,,,,,,,,,
7e4990a9f66809411268,https://www.ndiscommission.gov.au/about-us/compliance-and-enforcement/compliance-actions/search/export,C:\Users\Carter Xu\OneDrive\Antigravity Workspaces\Main-swarm\NDIS\project\raw\enforcement\enforcement_export_20260330T084133Z.csv,ER - Compliance notice,compliance_notice,,2025-08-13 17:00:00,2025-12-16 17:00:00,2025-08-13 17:00,2025-12-16 17:00,Reuwin Medical Pty Ltd,provider,90116291411,Blacktown,NSW,2148,,,,"Reuwin Medical Pty Ltd is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Reuwin Medical Pty Ltd is required by 28 August 2025 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 13 November 2025 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 13 August 2025 from 5pm. Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Reuwin Medical Pty Ltd. has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force",,2026-03-30 08:41:33.609896+00:00,True,abn:90116291411,reuwin medical,Reuwin Medical Pty Ltd,Reuwin Medical Pty Ltd,90116291411,NSW,2148,Blacktown,provider,1,compliance_notice,2025-08-13T17:00:00,2025-08-13T17:00:00,compliance_notice,ER - Compliance notice,1,False,90116291411,116291411,REUWIN MEDICAL PTY LTD,Australian Private Company,NSW,2148,html_fallback,,,0,,,0.0,source_abn_exact,,abn_exact,REUWIN MEDICAL PTY LTD,,REGD,APTY,LMSH,PROP,19/09/2005,,,,Y,,90116291411,116291411
c5d774899d874cc14e10,https://www.ndiscommission.gov.au/about-us/compliance-and-enforcement/compliance-actions/search/export,C:\Users\Carter Xu\OneDrive\Antigravity Workspaces\Main-swarm\NDIS\project\raw\enforcement\enforcement_export_20260330T084133Z.csv,ER - Compliance notice,compliance_notice,,2025-08-13 17:00:00,2025-12-16 17:00:00,2025-08-13 17:00,2025-12-16 17:00,Ultimate Healthcare Services Pty Ltd,provider,70653817586,CRAIGIEBURN,VIC,3064,,,,"Ultimate Healthcare Services Pty Ltd is required to take action to address alleged non-compliance with section 73J of the National Disability Insurance Scheme Act 2013. More specifically, Ultimate Healthcare Services Pty Ltd is required by 28 August 2025 to take action to engage an approved quality audit to complete a mid-term audit in accordance with section 13B of the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 and by 13 November 2025 to provide the NDIS Commission a copy of the completed mid-term audit report. Date and time of effect: 13 August 2025 from 5pm. Further information: The compliance notice was issued on the basis that a delegate of the Commissioner was satisfied that Ultimate Healthcare Services Pty Ltd. has contravened section 73J of the NDIS Act, by allegedly failing to commence a mid-term audit within 18 months the registration coming into force.",,2026-03-30 08:41:33.609896+00:00,True,abn:70653817586,ultimate healthcare services,Ultimate Healthcare Services Pty Ltd,Ultimate Healthcare Services Pty Ltd,70653817586,VIC,3064,CRAIGIEBURN,provider,1,compliance_notice,2025-08-13T17:00:00,2025-08-13T17:00:00,compliance_notice,ER - Compliance notice,1,False,70653817586,653817586,ULTIMATE HEALTHCARE SERVICES PTY LTD,Australian Private Company,VIC,3064,html_fallback,,,0,,,0.0,source_abn_exact,,abn_exact,ULTIMATE HEALTHCARE SERVICES PTY LTD,,REGD,APTY,LMSH,PROP,19/09/2021,,,,Y,,70653817586,653817586
8550b22607f40bbd7826,https://www.ndiscommission.gov.au/about-us/compliance-and-enforcement/compliance-actions/search/export,C:\Users\Carter Xu\OneDrive\Antigravity Workspaces\Main-swarm\NDIS\project\raw\enforcement\enforcement_export_20260330T084133Z.csv,ER - Revocation of registration,revocation,,2023-08-08 17:00:00,,2023-08-08 17:00,,1 Primary Care Service Pty Ltd,provider,77635277959,Strathfield,NSW,2135,4-DRLAFLH,,"101 accommodation/tenancy assistance; 103 assistive products for personal care and safety; 105 personal mobility equipment; 106 assistance in coordinating or managing life stages, transitions and supports; 107 assistance with daily personal activities; 108 assistance with travel/transport arrangements; 111 home modifications; 113 vision equipment; 114 community nursing care; 115 assistance with daily life tasks in a group or shared living arrangement; 116 innovative community participation; 120 household tasks; 121 interpreting and translation; 122 hearing equipment; 123 assistive products for household tasks; 124 communication and information equipment; 125 participation in community, social and civic activities; 126 exercise physiology and personal training; 127 management of funding for supports in participant plans; 128 therapeutic supports; 131 specialist disability accommodation only; 132 specialised support coordination; 136 group and centre‑based activities","On 25 July 2023, a notice of revocation of registration was issued to 1 Primary Care Service Pty Ltd under sections 73P(1)(a) and 73P(1)(d) of the National Disability Insurance Scheme Act 2013. The revocation takes effect from 5:00pm on 8 August 2023",support coordination,2026-03-30 08:41:33.609896+00:00,True,abn:77635277959,1 primary care service,1 Primary Care Service Pty Ltd,1 Primary Care Service Pty Ltd,77635277959,NSW,2135,Strathfield,provider,2,revocation; banning_order,2023-08-08T17:00:00,2024-01-24T18:00:00,revocation,ER - Revocation of registration,2,False,77635277959,635277959,1 PRIMARY CARE SERVICE PTY LTD,Australian Private Company,NSW,2135,html_fallback,,,0,,,0.0,source_abn_exact,,abn_exact,1 PRIMARY CARE SERVICE PTY LTD,,REGD,APTY,LMSH,PROP,02/08/2019,,,,Y,,77635277959,635277959
